PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,FAC_NAME,PRVDR_NUM,STATE_CD,PGM_TRMNTN_CD,TRMNTN_EXPRTN_DT,ZIP_CD
01,08,"FLOYD E TUTT FANN STATE VETERANS HOME",016628,AL,00,"",35811
01,08,"BILL NICHOLS STATE VETERANS HOME",016630,AL,00,"",35010
01,08,"WILLIAM F GREEN STATE VETERANS HOME",016631,AL,00,"",36507
04,01,"ARKANSAS STATE HOSP PSYCHIATRIC DIV",044000,AR,05,19860802,72201
04,01,"ARKANSAS STATE HOSPITAL",044011,AR,00,"",72205
01,15,"TRI STATE ADVANCED SURGERY CENTER, LLC",04C0001085,AR,00,"",72364
02,10,"TRI STATE NURSING HOME",04E117,AR,01,19861120,72360
"",01,"ARIZONA STATE ELKS ASSN HOSP",03028E,AZ,00,"",85705
04,01,"ARIZONA STATE HOSP",034002,AZ,05,19880216,85008
04,01,"ARIZONA STATE HOSPITAL",034016,AZ,03,19970527,85008
04,01,"ARIZONA STATE HOSPITAL",034021,AZ,00,"",85008
03,02,"ARIZONA STATE VETERAN HOME-PHX",035234,AZ,00,"",85012
03,02,"ARIZONA STATE VETERAN HOME-TUCSON",035284,AZ,00,"",85713
"",01,"CALIFORNIA STATE POLYTECHNIC COL HOSP",05001E,CA,00,"",93401
01,01,"AGNEWS STATE HOSPITAL",050662,CA,01,20090413,95134
01,01,"CAMARILLO STATE HOSPITAL",050666,CA,01,19970630,93010
01,01,"NAPA STATE HOSPITAL",050691,CA,01,19910501,94558
04,01,"NAPA STATE HOSPITAL",054071,CA,05,19900501,94558
04,01,"DEPT OF STATE HOSPITALS - NAPA",054122,CA,00,"",94558
04,01,"DEPT OF STATE HOSPITALS - METROPOLITAN - PSY",054133,CA,00,"",90650
04,01,"CAMARILLO STATE HOSP & DEVELOPMTL CTR",054134,CA,01,19970630,93012
01,14,"GOLDEN STATE THERAPY CENTER",054555,CA,01,20071009,95240
01,05,"GOLDEN STATE HOME HEALTH CARE & HOSPICE, INC",059442,CA,00,"",95376
01,05,"GOLDEN STATE HOME HEALTH, LLC",059481,CA,00,"",94621
02,10,"AGNEWS STATE HOSPITAL D/P SNF",05A314,CA,04,20090413,95134
02,10,"PATTON STATE HOSPITAL - DP/SNF",05A320,CA,01,19910625,92369
02,10,"DEPT OF STATE HOSPITALS - NAPA D/P SNF",05A357,CA,00,"",94558
02,10,"CAMARILLO STATE HOSP & DEV CENTER",05A399,CA,01,19970630,93010
01,15,"STATE OF THE ART SURGERY CENTER,LLC",05C0001971,CA,00,"",90069
02,11,"NAPA STATE HOSP",05G009,CA,01,19870815,94558
